Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,score,ranking
Carnegie Mellon University,24.179012345679013,33.66666666666667,13.068783068783068,22.947971781305114,18.363976711300424,1
Univ. of Illinois at Urbana-Champaign,23.123015873015873,37.581569664903,12.870811287477956,19.287037037037038,14.230258172597203,2
Univ. of California - San Diego,22.53747795414462,34.077160493827165,11.647707231040565,23.600088183421516,11.91302109026623,3
Massachusetts Institute of Technology,21.59259259259259,33.95414462081129,14.265432098765432,21.05026455026455,11.238906993525996,4
Georgia Institute of Technology,22.62169312169312,33.06878306878307,9.857142857142858,24.314814814814817,10.486860341154498,5
Stanford University,23.977513227513228,26.892857142857146,12.749118165784832,25.242945326278658,10.354670650812578,6
University of Michigan,22.538800705467374,35.54232804232804,11.310405643738976,18.470899470899468,10.143639106508695,7
University of Washington,22.026455026455025,29.062610229276896,12.222222222222221,23.55114638447972,10.003248958984923,8
Univ. of California - Berkeley,20.548941798941797,32.41225749559082,13.916666666666666,18.984567901234566,9.587283865777907,9
Cornell University,24.89373897707231,27.822310405643737,12.392857142857142,19.75352733686067,9.449585674303265,10
University of Maryland - College Park,23.97178130511464,25.341269841269842,8.421516754850089,26.127865961199298,8.457982406676468,11
Northeastern University,20.845679012345677,30.567019400352734,13.27336860670194,18.17636684303351,7.690357576542298,12
University of Wisconsin - Madison,19.034391534391535,34.567019400352734,12.201940035273369,16.059082892416225,7.281073084318602,13
Columbia University,22.757936507936506,28.401675485008816,11.96252204585538,17.74029982363316,7.063271756593267,14
Purdue University,18.358906525573193,34.29717813051146,11.029100529100528,15.177248677248677,6.9682233225429275,16
University of Texas at Austin,22.113315696649032,32.21560846560846,14.677689594356261,10.855820105820106,6.999481550020473,15
University of Pennsylvania,21.89726631393298,28.687389770723104,10.55246913580247,16.72530864197531,6.830662384582897,17
Princeton University,20.02910052910053,28.70811287477954,10.597883597883598,17.527336860670193,6.158300333520861,18
University of Massachusetts Amherst,26.99162257495591,29.159171075837744,4.446649029982363,15.264991181657848,5.860109676015573,19
New York University,22.858465608465607,21.957231040564373,13.042768959435627,17.003968253968253,5.694309819651748,20
